post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
"Standard 520x111",standard-520x111,,28,,,publish,,1,"2021-12-29 11:10:41",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/standard-520x111/,simple,,"UK car number plate",,
"7 Character 460x101",7-character-460x101,,54,,,publish,,21,"2021-12-29 11:37:59",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-460x101/,simple,,"UK car number plate",,
"7 Character Which includes a No.1 424x101",7-character-which-includes-a-no-1-424x101,,55,,,publish,,23,"2021-12-29 11:44:42",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-which-includes-a-no-1-424x101/,simple,,"UK car number plate",,
"7 Character Which includes a No.1 225x199",7-character-which-includes-a-no-1-225x199,,56,,,publish,,24,"2021-12-29 11:48:20",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/7-character-which-includes-a-no-1-225x199/,simple,,"UK car number plate",,
"6 Character 399x101",6-character-399x101,,57,,,publish,,25,"2021-12-29 11:53:19",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/6-character-399x101/,simple,,"UK car number plate",,
"5 or 6 Character 199x199",5-or-6-character-199x199,,58,,,publish,,27,"2021-12-29 11:56:30",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-or-6-character-199x199/,simple,,"UK car number plate",,
"6 Character Which includes a No.1 363x101",6-character-which-includes-a-no-1-363x101,,59,,,publish,,26,"2021-12-29 11:58:59",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/6-character-which-includes-a-no-1-363x101/,simple,,"UK car number plate",,
"5 Character 338x101",5-character-338x101,,60,,,publish,,28,"2021-12-29 12:03:06",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/5-character-338x101/,simple,,"UK car number plate",,
"Import Size #1 330x165",import-size-1-330x165,,61,,,publish,,11,"2021-12-29 12:07:09",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/import-size-1-330x165/,simple,,"Imported car number plate",,
"Import Size #2 330x178",import-size-2-330x178,,63,,,publish,,12,"2021-12-29 12:13:59",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://jdm-plates.customerdevsites.com/product/import-size-2-330x178/,simple,,"Imported car number plate",,
